year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,11,11,-13.9,-15.0,0.0
2009,1,11,12,-11.1,-13.3,0.0
2009,1,11,13,-11.7,-13.3,0.0
2009,1,11,14,-11.7,-13.9,15.0
2009,1,11,15,-10.0,-12.2,0.0
2009,1,11,16,-8.9,-11.7,0.0
2009,1,11,17,-7.2,-10.6,15.0
2009,1,11,18,-7.2,-10.0,46.0
2009,1,11,19,-7.2,-10.6,46.0
2009,1,11,20,-7.2,-10.0,36.0
2009,1,11,21,-7.8,-11.1,26.0
2009,1,11,22,-7.8,-10.6,36.0
2009,1,11,23,-8.9,-12.2,26.0
2009,1,12,0,-13.9,-15.0,15.0
2009,1,12,1,-13.3,-15.0,0.0
2009,1,12,2,-12.8,-15.0,15.0
2009,1,12,3,-14.4,-15.6,15.0
2009,1,12,4,-16.1,-17.2,26.0
2009,1,12,5,-12.8,-15.0,26.0
2009,1,12,6,,,
2009,1,12,7,-16.7,-18.3,21.0
2009,1,12,8,-16.1,-17.2,26.0
2009,1,12,9,-14.4,-16.7,26.0
2009,1,12,10,-18.3,-19.4,26.0
2009,1,12,11,-15.6,-17.2,21.0
2009,1,12,12,-16.1,-18.9,15.0
2009,1,12,13,-17.2,-19.4,0.0
2009,1,12,14,-16.1,-17.8,31.0
2009,1,12,15,-13.0,-15.0,15.0
2009,1,12,16,-11.7,-12.2,0.0
2009,1,12,17,-8.9,-10.6,26.0
2009,1,12,18,-7.0,-9.0,41.0
2009,1,12,19,-6.7,-8.9,36.0
2009,1,12,20,-6.1,-8.3,31.0
2009,1,12,21,-5.6,-8.3,36.0
2009,1,12,22,-5.6,-7.8,41.0
2009,1,12,23,-5.6,-7.8,36.0
2009,1,13,0,-5.0,-7.2,51.0
2009,1,13,1,-4.4,-6.1,41.0
2009,1,13,2,-4.4,-5.6,41.0
2009,1,13,3,-4.4,-5.6,15.0
2009,1,13,4,-4.4,-5.6,15.0
2009,1,13,5,-6.0,-7.0,36.0
2009,1,13,6,,,
2009,1,13,7,-6.1,-7.8,51.0
2009,1,13,8,-7.8,-10.6,82.0
2009,1,13,9,-8.3,-11.7,57.0
2009,1,13,10,-8.3,-11.1,67.0
2009,1,13,11,-8.3,-12.2,72.0
2009,1,13,12,-10.0,-14.4,67.0
2009,1,13,13,-10.0,-13.9,77.0
2009,1,13,14,-11.7,-14.4,67.0
2009,1,13,15,-14.4,-18.3,88.0
2009,1,13,16,-15.0,-19.4,51.0
2009,1,13,17,-15.0,-20.0,62.0
2009,1,13,18,-14.4,-19.4,36.0
2009,1,13,19,-14.4,-20.0,57.0
2009,1,13,20,-14.4,-21.1,51.0
2009,1,13,21,-15.6,-22.2,46.0
2009,1,13,22,-16.7,-22.8,31.0
2009,1,13,23,-19.4,-25.0,26.0
2009,1,14,0,-21.7,-25.6,36.0
2009,1,14,1,-21.1,-25.6,31.0
2009,1,14,2,-21.1,-24.4,0.0
2009,1,14,3,-23.3,-26.1,21.0
2009,1,14,4,-23.3,-25.0,0.0
2009,1,14,5,-21.7,-24.4,21.0
2009,1,14,6,,,
2009,1,14,7,-18.9,-22.2,15.0
2009,1,14,8,-18.3,-21.7,0.0
2009,1,14,9,-18.3,-20.6,15.0
2009,1,14,10,-18.0,-20.0,15.0
2009,1,14,11,-17.0,-19.0,21.0
2009,1,14,12,-16.1,-18.3,31.0
2009,1,14,13,-14.4,-16.7,46.0
2009,1,14,14,-14.4,-16.7,46.0
2009,1,14,15,-13.9,-16.1,57.0
2009,1,14,16,-13.3,-16.1,46.0
2009,1,14,17,-13.3,-16.1,46.0
2009,1,14,18,-12.8,-16.1,51.0
2009,1,14,19,-12.2,-16.7,67.0
2009,1,14,20,-11.7,-16.7,62.0
2009,1,14,21,-12.8,-17.2,57.0
2009,1,14,22,-13.9,-17.2,72.0
2009,1,14,23,-14.4,-18.3,72.0
2009,1,15,0,-14.4,-20.6,62.0
2009,1,15,1,-15.0,-20.6,46.0
2009,1,15,2,-16.7,-22.2,41.0
2009,1,15,3,-17.2,-22.8,51.0
2009,1,15,4,-17.8,-23.3,51.0
2009,1,15,5,-18.9,-25.0,57.0
2009,1,15,6,,,
2009,1,15,7,-21.1,-26.7,51.0
2009,1,15,8,-22.8,-27.8,41.0
2009,1,15,9,-23.3,-28.9,41.0
2009,1,15,10,-23.3,-28.9,51.0
2009,1,15,11,-23.9,-29.4,36.0
2009,1,15,12,-24.4,-29.4,41.0
2009,1,15,13,-24.4,-30.0,41.0
2009,1,15,14,-25.0,-30.0,36.0
2009,1,15,15,-23.9,-29.4,51.0
2009,1,15,16,-23.3,-28.9,57.0
2009,1,15,17,-22.8,-28.3,51.0
2009,1,15,18,-22.2,-27.8,72.0
2009,1,15,19,-21.7,-27.8,72.0
2009,1,15,20,-21.7,-27.8,72.0
2009,1,15,21,-21.1,-27.2,67.0
2009,1,15,22,-21.1,-27.8,57.0
2009,1,15,23,-21.7,-27.8,67.0
2009,1,16,0,-22.8,-28.3,67.0
2009,1,16,1,-23.3,-28.9,51.0
2009,1,16,2,-23.3,-28.3,77.0
2009,1,16,3,-23.3,-28.3,72.0
2009,1,16,4,-23.3,-28.9,67.0
